scheme,band,n_prefectures,mean_pop_growth_ann_pct,mean_econ_growth_ann_pct
hsr_distance,0-10 km,38,0.7056038573646428,12.975293311461122
hsr_distance,10-25 km,92,0.6354366611773021,12.359092887695489
hsr_distance,25-50 km,82,0.5515486079423761,12.449815672964547
hsr_distance,>50 km,132,0.6868595586995077,12.213371800009895
rail_station_distance,0-10 km,106,0.74954420212521,12.323046270516441
rail_station_distance,10-25 km,127,0.5030804056904484,12.273163202706545
rail_station_distance,25-50 km,71,0.4766927925678993,12.335660623220248
rail_station_distance,>50 km,40,1.0994370446874495,13.059527965519862
rail_density_quartile,Q1,86,0.661227709798363,12.574836831941921
rail_density_quartile,Q2,86,0.1977550255724669,12.37516859852227
rail_density_quartile,Q3,86,0.5490323266947029,12.183933194767333
rail_density_quartile,Q4,86,1.1636775775597936,12.437545726953433
