term,estimate,ci_low,ci_high,p_value_ols,n_obs,outcome,term_label
z_hsr_km_change,0.2971181536607429,0.1156234864489494,0.4579886468877792,1.4860917488108275e-4,344,Population growth (%/year),HSR km change (z)
z_rail_km_change,0.16656517022850265,0.013438630659683976,0.3214575657494454,0.003495695345569021,344,Population growth (%/year),Rail km change (z)
z_hsr_station_gain,-0.10044881421261469,-0.28410408461212056,0.06564328777367218,0.17244567995311802,344,Population growth (%/year),HSR station gain (z)
z_station_access_improve_km,-0.1317302180772437,-0.32516390721589805,0.005793180710006532,0.11443409287064502,344,Population growth (%/year),Station access improvement (z)
z_zone_intensity,0.09590878847122371,-0.00625148546763623,0.48154291637942126,0.10271260167446904,344,Population growth (%/year),Zone intensity (z)
z_log_pop_start,-0.24034969965134473,-0.4011565250037803,-0.10307491708806933,9.247386284480262e-4,344,Population growth (%/year),Baseline population level (z)
z_log_gdp_start,-1.7981201851640123,-3.2173412971243507,1.0056996741545912,0.0011768595803425537,344,Population growth (%/year),Baseline GDP proxy level (z)
z_dist_hsr_start,0.02976834338548873,-0.17958107018900826,0.22402886530508603,0.7235564867683575,344,Population growth (%/year),Baseline distance to HSR (z)
z_hsr_km_change,0.11016007742026834,-0.009847816713741419,0.24058527256274706,0.06116975903065856,344,Economic growth (%/year),HSR km change (z)
z_rail_km_change,0.039277401450792004,-0.06827637618734583,0.10590806026697028,0.33065973203531107,344,Economic growth (%/year),Rail km change (z)
z_hsr_station_gain,-0.029977691746455412,-0.15303536797778422,0.07477473881149466,0.5909950197145832,344,Economic growth (%/year),HSR station gain (z)
z_station_access_improve_km,-0.011788524027856505,-0.10092194951012179,0.057257028519101624,0.831203312357902,344,Economic growth (%/year),Station access improvement (z)
z_zone_intensity,0.03451632198110463,-0.014919348788992476,0.15403913257720347,0.3982402319473407,344,Economic growth (%/year),Zone intensity (z)
z_log_pop_start,0.030361956329451316,-0.08701314537056215,0.14366064904950954,0.5814147063421823,344,Economic growth (%/year),Baseline population level (z)
z_log_gdp_start,-0.17253746553440003,-0.26451030921371466,-0.04567576815290992,5.589800547667024e-4,344,Economic growth (%/year),Baseline GDP proxy level (z)
z_dist_hsr_start,-0.024730924022048493,-0.10732397686137754,0.10081009401270649,0.6745161599682182,344,Economic growth (%/year),Baseline distance to HSR (z)
z_prov_gdp_growth,1.4083668656236175,1.3479641869554748,1.4824478624194268,6.447290994475808e-112,344,Economic growth (%/year),Provincial GDP growth baseline (z)
