estimate,ci_low,ci_high,p_perm,n_hi,n_lo,outcome,near_cutoff_km,far_cutoff_rule
0.6513043575603815,-0.23391028331787705,1.6576837880799444,0.069,12,132,Population growth,5,>50 km
0.7222678865588872,0.11642062784870519,1.3789707431187757,0.1625,12,132,Economic growth,5,>50 km
0.018744298665135384,-0.37962246854869414,0.47543841225824934,0.931,38,132,Population growth,10,>50 km
0.761921511451229,0.2874866760331231,1.260426925746881,0.0135,38,132,Economic growth,10,>50 km
0.10925626088358631,-0.23018259787903012,0.4675621194930305,0.5365,68,132,Population growth,15,>50 km
0.5136964508001043,0.11526148868410972,0.9435731533851867,0.0405,68,132,Economic growth,15,>50 km
0.05542978437866042,-0.2610236650296479,0.3661175998932222,0.7225,100,132,Population growth,20,>50 km
0.4463150826979678,0.06426744273857307,0.8613527032606466,0.038,100,132,Economic growth,20,>50 km
-0.03091248632898247,-0.3008769014198016,0.25413495582200507,0.83,130,132,Population growth,25,>50 km
0.32584121155555046,-0.07019780561564047,0.7348579803225933,0.107,130,132,Economic growth,25,>50 km
-0.05205388937211486,-0.2961291092044287,0.20697078151839668,0.7,159,132,Population growth,30,>50 km
0.2832852577374272,-0.10384394428601382,0.6587350501974159,0.1455,159,132,Economic growth,30,>50 km
-0.03984349657314579,-0.2783093805955515,0.19298895773553154,0.7545,195,132,Population growth,40,>50 km
0.21311309962654512,-0.12822772826506262,0.5797638348179207,0.241,195,132,Economic growth,40,>50 km
